county,median_household_income
"Morgan County, Illinois",65175.0
"Moultrie County, Illinois",71676.0
"Ogle County, Illinois",79244.0
"Peoria County, Illinois",64938.0
"Perry County, Illinois",59286.0
"Piatt County, Illinois",87516.0
"Pike County, Illinois",58029.0
"Pope County, Illinois",62500.0
"Pulaski County, Illinois",43227.0
"Putnam County, Illinois",77526.0
"Randolph County, Illinois",68870.0
"Richland County, Illinois",60404.0
"Rock Island County, Illinois",66768.0
"St. Clair County, Illinois",70178.0
"Saline County, Illinois",54945.0
"Sangamon County, Illinois",74114.0
"Schuyler County, Illinois",66059.0
"Scott County, Illinois",73013.0
"Shelby County, Illinois",68457.0
"Stark County, Illinois",62284.0
"Stephenson County, Illinois",61943.0
"Tazewell County, Illinois",76704.0
"Union County, Illinois",56420.0
"Vermilion County, Illinois",54537.0
"Wabash County, Illinois",53650.0
"Warren County, Illinois",64650.0
"Washington County, Illinois",75652.0
"Wayne County, Illinois",53107.0
"White County, Illinois",53097.0
"Whiteside County, Illinois",64536.0
"Will County, Illinois",107799.0
"Williamson County, Illinois",65521.0
"Winnebago County, Illinois",64363.0
"Woodford County, Illinois",85629.0
"Adams County, Indiana",63128.0
"Allen County, Indiana",68839.0
"Bartholomew County, Indiana",80365.0
"Benton County, Indiana",61811.0
"Blackford County, Indiana",47560.0
"Boone County, Indiana",104865.0
"Brown County, Indiana",72644.0
"Carroll County, Indiana",64003.0
"Cass County, Indiana",56525.0
"Clark County, Indiana",72298.0
"Clay County, Indiana",67676.0
"Clinton County, Indiana",63690.0
"Crawford County, Indiana",48993.0
"Daviess County, Indiana",68561.0
"Dearborn County, Indiana",82693.0
"Decatur County, Indiana",74228.0
"DeKalb County, Indiana",70080.0
"Delaware County, Indiana",56932.0
"Dubois County, Indiana",71918.0
"Elkhart County, Indiana",65617.0
"Fayette County, Indiana",56659.0
"Floyd County, Indiana",78179.0
"Fountain County, Indiana",62526.0
"Franklin County, Indiana",79702.0
"Fulton County, Indiana",62878.0
"Gibson County, Indiana",67763.0
"Grant County, Indiana",54007.0
"Greene County, Indiana",59753.0
"Hamilton County, Indiana",117957.0
"Hancock County, Indiana",91326.0
"Harrison County, Indiana",72468.0
"Hendricks County, Indiana",99988.0
"Henry County, Indiana",60144.0
"Howard County, Indiana",62496.0
"Huntington County, Indiana",62734.0
"Jackson County, Indiana",70208.0
"Jasper County, Indiana",79634.0
"Jay County, Indiana",54114.0
"Jefferson County, Indiana",59987.0
"Jennings County, Indiana",68476.0
"Johnson County, Indiana",87227.0
"Knox County, Indiana",58863.0
"Kosciusko County, Indiana",73922.0
"LaGrange County, Indiana",83741.0
"Lake County, Indiana",68985.0
"LaPorte County, Indiana",70452.0
"Lawrence County, Indiana",65551.0
"Madison County, Indiana",62632.0
"Marion County, Indiana",63450.0
"Marshall County, Indiana",68041.0
"Martin County, Indiana",65345.0
"Miami County, Indiana",61130.0
"Monroe County, Indiana",63372.0
"Montgomery County, Indiana",66571.0
"Morgan County, Indiana",79088.0
"Newton County, Indiana",68596.0
"Noble County, Indiana",70908.0
"Ohio County, Indiana",67942.0
"Orange County, Indiana",64758.0
"Owen County, Indiana",59586.0
"Parke County, Indiana",66776.0
"Perry County, Indiana",61099.0
"Pike County, Indiana",66250.0
"Porter County, Indiana",85828.0
"Posey County, Indiana",79124.0
"Pulaski County, Indiana",59956.0
"Putnam County, Indiana",76182.0
"Randolph County, Indiana",61121.0
"Ripley County, Indiana",71084.0
"Rush County, Indiana",64393.0
"St. Joseph County, Indiana",64885.0
"Scott County, Indiana",54583.0
"Shelby County, Indiana",71301.0
"Spencer County, Indiana",70890.0
"Starke County, Indiana",62933.0
"Steuben County, Indiana",71483.0
"Sullivan County, Indiana",54985.0
"Switzerland County, Indiana",65148.0
"Tippecanoe County, Indiana",58622.0
"Tipton County, Indiana",78309.0
"Union County, Indiana",79500.0
"Vanderburgh County, Indiana",60938.0
"Vermillion County, Indiana",59363.0
"Vigo County, Indiana",52525.0
"Wabash County, Indiana",68414.0
"Warren County, Indiana",74635.0
"Warrick County, Indiana",95027.0
"Washington County, Indiana",61358.0
"Wayne County, Indiana",56652.0
"Wells County, Indiana",69741.0
"White County, Indiana",66143.0
"Whitley County, Indiana",75790.0
"Adair County, Iowa",66176.0
"Adams County, Iowa",68828.0
"Allamakee County, Iowa",66000.0
"Appanoose County, Iowa",51146.0
"Audubon County, Iowa",54152.0
"Benton County, Iowa",84742.0
"Black Hawk County, Iowa",64581.0
"Boone County, Iowa",79741.0
