"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"0500000US06017","El Dorado County, California","1769","70000",
"0500000US06019","Fresno County, California","658","46430",
"0500000US06021","Glenn County, California","2413","43074",
"0500000US06023","Humboldt County, California","1219","40089",
"0500000US06025","Imperial County, California","1312","38685",
"0500000US06027","Inyo County, California","3693","44808",
"0500000US06029","Kern County, California","691","47089",
"0500000US06031","Kings County, California","1892","48684",
"0500000US06033","Lake County, California","1615","39491",
"0500000US06035","Lassen County, California","4275","50317",
"0500000US06037","Los Angeles County, California","234","55476",
"0500000US06039","Madera County, California","1652","46039",
"0500000US06041","Marin County, California","1957","89268",
"0500000US06043","Mariposa County, California","5838","49098",
"0500000US06045","Mendocino County, California","1346","43759",
"0500000US06047","Merced County, California","1566","43844",
"0500000US06049","Modoc County, California","2797","34588",
"0500000US06051","Mono County, California","7461","55087",
"0500000US06053","Monterey County, California","1270","59271",
"0500000US06055","Napa County, California","2141","67389",
"0500000US06057","Nevada County, California","1881","57121",
"0500000US06059","Orange County, California","498","74344",
"0500000US06061","Placer County, California","1226","74447",
"0500000US06063","Plumas County, California","2761","44000",
"0500000US06065","Riverside County, California","598","57768",
"0500000US06067","Sacramento County, California","590","56439",
"0500000US06069","San Benito County, California","2445","65771",
"0500000US06071","San Bernardino County, California","482","55845",
"0500000US06073","San Diego County, California","464","63069",
"0500000US06075","San Francisco County, California","899","71304",
"0500000US06077","San Joaquin County, California","909","54341",
"0500000US06079","San Luis Obispo County, California","1444","57365",
"0500000US06081","San Mateo County, California","877","85648",
"0500000US06083","Santa Barbara County, California","1101","60078",
"0500000US06085","Santa Clara County, California","730","86850",
"0500000US06087","Santa Cruz County, California","1187","65253",
"0500000US06089","Shasta County, California","1009","43944",
"0500000US06091","Sierra County, California","11434","52950",
"0500000US06093","Siskiyou County, California","1402","36981",
"0500000US06095","Solano County, California","1175","68409",
"0500000US06097","Sonoma County, California","1032","63274",
"0500000US06099","Stanislaus County, California","771","51094",
"0500000US06101","Sutter County, California","1785","50944",
"0500000US06103","Tehama County, California","1107","38137",
"0500000US06105","Trinity County, California","4735","38725",
"0500000US06107","Tulare County, California","860","43851",
"0500000US06109","Tuolumne County, California","2518","47462",
"0500000US06111","Ventura County, California","951","75348",
"0500000US06113","Yolo County, California","1608","57077",
"0500000US06115","Yuba County, California","2824","46807",
"0500000US08001","Adams County, Colorado","666","54666",
"0500000US08003","Alamosa County, Colorado","2663","35935",
"0500000US08005","Arapahoe County, Colorado","765","58719",
"0500000US08007","Archuleta County, Colorado","8196","56068",
"0500000US08009","Baca County, Colorado","2974","36017",
"0500000US08011","Bent County, Colorado","4029","36412",
"0500000US08013","Boulder County, Colorado","1281","64839",
"0500000US08014","Broomfield County, Colorado","3020","75590",
"0500000US08015","Chaffee County, Colorado","3390","42941",
"0500000US08017","Cheyenne County, Colorado","9810","47125",
"0500000US08019","Clear Creek County, Colorado","3876","60426",
"0500000US08021","Conejos County, Colorado","2245","33627",
"0500000US08023","Costilla County, Colorado","4494","24388",
"0500000US08025","Crowley County, Colorado","5852","38189",
"0500000US08027","Custer County, Colorado","8354","39909",
"0500000US08029","Delta County, Colorado","1576","40451",
"0500000US08031","Denver County, Colorado","711","45501",
"0500000US08033","Dolores County, Colorado","5318","43058",
"0500000US08035","Douglas County, Colorado","1710","99198",
"0500000US08037","Eagle County, Colorado","3734","71337",
"0500000US08039","Elbert County, Colorado","4521","78958",
"0500000US08041","El Paso County, Colorado","680","56268",
"0500000US08043","Fremont County, Colorado","2026","37847",
"0500000US08045","Garfield County, Colorado","3051","64902",
"0500000US08047","Gilpin County, Colorado","5859","58036",
"0500000US08049","Grand County, Colorado","3396","60433",
"0500000US08051","Gunnison County, Colorado","4672","49356",
"0500000US08053","Hinsdale County, Colorado","34128","74659",
"0500000US08055","Huerfano County, Colorado","4880","30058",
"0500000US08057","Jackson County, Colorado","8483","37222",
"0500000US08059","Jefferson County, Colorado","598","66075",
"0500000US08061","Kiowa County, Colorado","5763","40089",
"0500000US08063","Kit Carson County, Colorado","6174","41678",
"0500000US08065","Lake County, Colorado","3201","41103",
"0500000US08067","La Plata County, Colorado","1984","56422",
"0500000US08069","Larimer County, Colorado","1152","56447",
"0500000US08071","Las Animas County, Colorado","2833","38134",
"0500000US08073","Lincoln County, Colorado","3517","41616",
"0500000US08075","Logan County, Colorado","2888","40961",
"0500000US08077","Mesa County, Colorado","1262","52067",
"0500000US08079","Mineral County, Colorado","5133","53438",
"0500000US08081","Moffat County, Colorado","5142","53587",
"0500000US08083","Montezuma County, Colorado","2548","44103",
"0500000US08085","Montrose County, Colorado","1888","46590",
"0500000US08087","Morgan County, Colorado","2847","43111",
"0500000US08089","Otero County, Colorado","2258","34142",
"0500000US08091","Ouray County, Colorado","7207","58393",
"0500000US08093","Park County, Colorado","4248","64098",
"0500000US08095","Phillips County, Colorado","2605","44084",
"0500000US08097","Pitkin County, Colorado","6966","64502",
"0500000US08099","Prowers County, Colorado","3177","33969",
"0500000US08101","Pueblo County, Colorado","1035","40699",
"0500000US08103","Rio Blanco County, Colorado","7388","57992",
"0500000US08105","Rio Grande County, Colorado","4535","39871",
"0500000US08107","Routt County, Colorado","3831","60876",
"0500000US08109","Saguache County, Colorado","3756","30430",
"0500000US08111","San Juan County, Colorado","5649","43783",
"0500000US08113","San Miguel County, Colorado","6190","66399",
"0500000US08115","Sedgwick County, Colorado","4430","37625",
"0500000US08117","Summit County, Colorado","5893","68750",
"0500000US08119","Teller County, Colorado","3305","58080",
"0500000US08121","Washington County, Colorado","3402","39735",
"0500000US08123","Weld County, Colorado","1246","55596",
"0500000US08125","Yuma County, Colorado","4949","42114",
"0500000US09001","Fairfield County, Connecticut","944","81268",
"0500000US09003","Hartford County, Connecticut","606","62590",
"0500000US09005","Litchfield County, Connecticut","1251","69639",
"0500000US09007","Middlesex County, Connecticut","1589","74906",
"0500000US09009","New Haven County, Connecticut","667","61114",
"0500000US09011","New London County, Connecticut","1122","65419",
"0500000US09013","Tolland County, Connecticut","2008","77175",
"0500000US09015","Windham County, Connecticut","1686","59370",
"0500000US10001","Kent County, Delaware","1130","53183",
"0500000US10003","New Castle County, Delaware","970","62474",
"0500000US10005","Sussex County, Delaware","1023","51046",
"0500000US11001","District of Columbia, District of Columbia","982","58526",
"0500000US12001","Alachua County, Florida","1059","40644",
"0500000US12003","Baker County, Florida","3422","47276",
