"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"0500000US12085","Martin County, Florida","55588","1532",
"0500000US12086","Miami-Dade County, Florida","46338","365",
"0500000US12087","Monroe County, Florida","63030","1692",
"0500000US12089","Nassau County, Florida","64294","2019",
"0500000US12091","Okaloosa County, Florida","59955","1565",
"0500000US12093","Okeechobee County, Florida","39059","1686",
"0500000US12095","Orange County, Florida","51586","483",
"0500000US12097","Osceola County, Florida","47343","1259",
"0500000US12099","Palm Beach County, Florida","57256","535",
"0500000US12101","Pasco County, Florida","48289","813",
"0500000US12103","Pinellas County, Florida","48968","679",
"0500000US12105","Polk County, Florida","45988","753",
"0500000US12107","Putnam County, Florida","33619","1120",
"0500000US12109","St. Johns County, Florida","73640","2446",
"0500000US12111","St. Lucie County, Florida","47132","1477",
"0500000US12113","Santa Rosa County, Florida","62731","1578",
"0500000US12115","Sarasota County, Florida","55236","1026",
"0500000US12117","Seminole County, Florida","60739","1116",
"0500000US12119","Sumter County, Florida","54771","2856",
"0500000US12121","Suwannee County, Florida","40600","3543",
"0500000US12123","Taylor County, Florida","37188","4545",
"0500000US12125","Union County, Florida","37460","6004",
"0500000US12127","Volusia County, Florida","43838","781",
"0500000US12129","Wakulla County, Florida","57866","4026",
"0500000US12131","Walton County, Florida","50619","1771",
"0500000US12133","Washington County, Florida","36989","3048",
"0500000US13001","Appling County, Georgia","37089","3056",
"0500000US13003","Atkinson County, Georgia","33063","1483",
"0500000US13005","Bacon County, Georgia","38824","3793",
"0500000US13007","Baker County, Georgia","43867","6318",
"0500000US13009","Baldwin County, Georgia","37008","2546",
"0500000US13011","Banks County, Georgia","42182","3151",
"0500000US13013","Barrow County, Georgia","56119","2078",
"0500000US13015","Bartow County, Georgia","52393","2222",
"0500000US13017","Ben Hill County, Georgia","32344","2976",
"0500000US13019","Berrien County, Georgia","38297","3248",
"0500000US13021","Bibb County, Georgia","38183","1684",
"0500000US13023","Bleckley County, Georgia","40688","3305",
"0500000US13025","Brantley County, Georgia","36812","3685",
"0500000US13027","Brooks County, Georgia","34890","5889",
"0500000US13029","Bryan County, Georgia","68589","5815",
"0500000US13031","Bulloch County, Georgia","39305","2425",
"0500000US13033","Burke County, Georgia","38707","5008",
"0500000US13035","Butts County, Georgia","39655","2735",
"0500000US13037","Calhoun County, Georgia","29617","2794",
"0500000US13039","Camden County, Georgia","53687","1418",
"0500000US13043","Candler County, Georgia","33125","4183",
"0500000US13045","Carroll County, Georgia","46844","1697",
"0500000US13047","Catoosa County, Georgia","54537","1845",
"0500000US13049","Charlton County, Georgia","43257","6511",
"0500000US13051","Chatham County, Georgia","52215","1310",
"0500000US13053","Chattahoochee County, Georgia","46096","6130",
"0500000US13055","Chattooga County, Georgia","35718","2489",
"0500000US13057","Cherokee County, Georgia","75477","1920",
"0500000US13059","Clarke County, Georgia","34557","1564",
"0500000US13061","Clay County, Georgia","23315","4341",
"0500000US13063","Clayton County, Georgia","44106","1280",
"0500000US13065","Clinch County, Georgia","21838","6556",
"0500000US13067","Cobb County, Georgia","72004","1128",
"0500000US13069","Coffee County, Georgia","36572","1549",
"0500000US13071","Colquitt County, Georgia","34503","1794",
"0500000US13073","Columbia County, Georgia","74162","1661",
"0500000US13075","Cook County, Georgia","35539","3615",
"0500000US13077","Coweta County, Georgia","67570","1607",
"0500000US13079","Crawford County, Georgia","41032","5046",
"0500000US13081","Crisp County, Georgia","33194","3700",
"0500000US13083","Dade County, Georgia","43163","4466",
"0500000US13085","Dawson County, Georgia","62284","5862",
"0500000US13087","Decatur County, Georgia","36934","3234",
"0500000US13089","DeKalb County, Georgia","55876","865",
"0500000US13091","Dodge County, Georgia","35290","2856",
"0500000US13093","Dooly County, Georgia","33389","5181",
"0500000US13095","Dougherty County, Georgia","34541","1950",
"0500000US13097","Douglas County, Georgia","59333","2092",
"0500000US13099","Early County, Georgia","29493","5666",
"0500000US13101","Echols County, Georgia","34315","3790",
"0500000US13103","Effingham County, Georgia","64279","3102",
"0500000US13105","Elbert County, Georgia","35207","3455",
"0500000US13107","Emanuel County, Georgia","33089","3041",
"0500000US13109","Evans County, Georgia","38736","4754",
"0500000US13111","Fannin County, Georgia","43344","5020",
"0500000US13113","Fayette County, Georgia","84861","3591",
"0500000US13115","Floyd County, Georgia","46096","2012",
"0500000US13117","Forsyth County, Georgia","96445","2452",
"0500000US13119","Franklin County, Georgia","39246","4427",
"0500000US13121","Fulton County, Georgia","61336","792",
"0500000US13123","Gilmer County, Georgia","46211","3104",
"0500000US13125","Glascock County, Georgia","45273","4977",
"0500000US13127","Glynn County, Georgia","47546","2169",
"0500000US13129","Gordon County, Georgia","43452","2229",
"0500000US13131","Grady County, Georgia","39462","3389",
"0500000US13133","Greene County, Georgia","45069","3751",
"0500000US13135","Gwinnett County, Georgia","64496","804",
"0500000US13137","Habersham County, Georgia","44474","1781",
"0500000US13139","Hall County, Georgia","55622","1940",
"0500000US13141","Hancock County, Georgia","29268","2293",
"0500000US13143","Haralson County, Georgia","43663","3367",
"0500000US13145","Harris County, Georgia","69539","6381",
"0500000US13147","Hart County, Georgia","41216","2612",
"0500000US13149","Heard County, Georgia","44897","3468",
"0500000US13151","Henry County, Georgia","64752","1733",
"0500000US13153","Houston County, Georgia","55965","2162",
"0500000US13155","Irwin County, Georgia","34677","6022",
"0500000US13157","Jackson County, Georgia","57999","2894",
"0500000US13159","Jasper County, Georgia","42067","3363",
"0500000US13161","Jeff Davis County, Georgia","37267","3563",
"0500000US13163","Jefferson County, Georgia","29640","1657",
"0500000US13165","Jenkins County, Georgia","27197","4924",
"0500000US13167","Johnson County, Georgia","36423","4737",
"0500000US13169","Jones County, Georgia","55110","5523",
"0500000US13171","Lamar County, Georgia","41157","4775",
"0500000US13173","Lanier County, Georgia","31109","5468",
"0500000US13175","Laurens County, Georgia","35202","1689",
"0500000US13177","Lee County, Georgia","65018","3516",
"0500000US13179","Liberty County, Georgia","43493","1738",
"0500000US13181","Lincoln County, Georgia","37711","6081",
"0500000US13183","Long County, Georgia","53083","4971",
"0500000US13185","Lowndes County, Georgia","39911","1705",
"0500000US13187","Lumpkin County, Georgia","43039","2966",
"0500000US13189","McDuffie County, Georgia","40469","4618",
"0500000US13191","McIntosh County, Georgia","43285","4280",
"0500000US13193","Macon County, Georgia","30851","3027",
"0500000US13195","Madison County, Georgia","47653","3252",
"0500000US13197","Marion County, Georgia","39015","5043",
